ID	xref	page_num	fig_num	accession	iupac	composition	wurcs	votes	url
G3.1	31	3	3	G17385XL	Man?1-?Man?1-?(Man?1-?Man?1-?)Man?1-?(Glc?1-?Glc?1-?Glc?1-?Man?1-?Man?1-?Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(2)Man(9)Glc(3)	WURCS=2.0/3,14,13/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2122h-1x_1-5]/1-1-2-2-2-2-3-3-3-2-2-2-2-2/a?-b1_b?-c1_c?-d1_c?-j1_d?-e1_e?-f1_f?-g1_g?-h1_h?-i1_j?-k1_j?-m1_k?-l1_m?-n1	1	http://127.0.0.1:10983/result/7fburuqynf#glycan-3-1
G3.2	31	3	3	G05479GT	Man?1-?Man?1-?(Man?1-?Man?1-?)Man?1-?(Man?1-?Man?1-?Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(2)Man(9)	WURCS=2.0/2,11,10/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2-2-2-2-2-2-2-2-2/a?-b1_b?-c1_c?-d1_c?-i1_d?-e1_d?-g1_e?-f1_g?-h1_i?-j1_j?-k1	1	http://127.0.0.1:10983/result/7fburuqynf#glycan-3-2
G3.3	31	3	3	G73636FD	Man?1-?(Man?1-?)Man?1-?(Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(2)Man(5)	WURCS=2.0/2,7,6/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2-2-2-2-2/a?-b1_b?-c1_c?-d1_c?-g1_d?-e1_d?-f1	-1	http://127.0.0.1:10983/result/7fburuqynf#glycan-3-3
G3.4	31	3	3	G73636FD	Man?1-?(Man?1-?)Man?1-?(Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(2)Man(5)	WURCS=2.0/2,7,6/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2-2-2-2-2/a?-b1_b?-c1_c?-d1_c?-g1_d?-e1_d?-f1	1	http://127.0.0.1:10983/result/7fburuqynf#glycan-3-4
G3.5	31	3	3	G95951LZ	Man?1-?(Man?1-?)Man?1-?(Gal?1-?GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(3)Man(5)Gal(1)	WURCS=2.0/3,9,8/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5]/1-1-2-2-1-3-2-2-2/a?-b1_b?-c1_c?-d1_c?-g1_d?-e1_e?-f1_g?-h1_g?-i1	1	http://127.0.0.1:10983/result/7fburuqynf#glycan-3-5
G3.6	31	3	3	G43463XA	Man?1-?(Man?1-?)Man?1-?(GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(3)Man(5)	WURCS=2.0/2,8,7/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2-2-2-2-2-1/a?-b1_b?-c1_c?-d1_c?-g1_d?-e1_d?-f1_g?-h1	1	http://127.0.0.1:10983/result/7fburuqynf#glycan-3-6
G3.7	31	3	3	G59325ZF	Man?1-?(GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(3)Man(3)	WURCS=2.0/2,6,5/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2-2-1-2/a?-b1_b?-c1_c?-d1_c?-f1_d?-e1	1	http://127.0.0.1:10983/result/7fburuqynf#glycan-3-7
G3.8	31	3	3	G23934NS	Gal?1-?GlcNAc?1-?Man?1-?(Gal?1-?GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(4)Man(3)Gal(2)	WURCS=2.0/3,9,8/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5]/1-1-2-2-1-3-2-1-3/a?-b1_b?-c1_c?-d1_c?-g1_d?-e1_e?-f1_g?-h1_h?-i1	1	http://127.0.0.1:10983/result/7fburuqynf#glycan-3-8
G3.9	31	3	3	G78607HP	GlcNAc?1-?Man?1-?(GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(4)Man(3)	WURCS=2.0/2,7,6/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2-2-1-2-1/a?-b1_b?-c1_c?-d1_c?-f1_d?-e1_f?-g1	1	http://127.0.0.1:10983/result/7fburuqynf#glycan-3-9
G3.10	31	3	3	G91496ML	Gal?1-?GlcNAc?1-?Man?1-?(Gal?1-?GlcNAc?1-?(Gal?1-?GlcNAc?1-?)Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(5)Man(3)Gal(3)	WURCS=2.0/3,11,10/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5]/1-1-2-2-1-3-1-3-2-1-3/a?-b1_b?-c1_c?-d1_c?-i1_d?-e1_d?-g1_e?-f1_g?-h1_i?-j1_j?-k1	1	http://127.0.0.1:10983/result/7fburuqynf#glycan-3-10
